method,sample,frame_id,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
GroundedSAM2_potted,ChangShouHua2,0000,ChangShouHua2_0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0000.png,0.9888126650555933,0.7220739685279074,0.8346501412450268,0.7902525499769599,0.7162228020834391,310.7889404296875,0.2237476258974106,0.2580280671296296,4,,0.004463968597286941,0.002886646412037037
GroundedSAM2_potted,ChangShouHua2,0025,ChangShouHua2_0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0025.png,0.992626098589172,0.9527582389937107,0.9722836515133856,0.9645978000518616,0.9460622602191183,268.21728515625,0.35233106127835734,0.229995418595679,1,0.41559027895563083,0.002230414308138705,0.0016959635416666666
GroundedSAM2_potted,ChangShouHua2,0050,ChangShouHua2_0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0050.png,0.9893964316233131,0.9633153372609373,0.9761817103796808,0.9710286518705205,0.9534716465572184,118.12089538574219,0.4007755337062325,0.19159698109567902,1,0.5180014516459512,0.002529347698175015,0.0020316116898148147
GroundedSAM2_potted,ChangShouHua2,0075,ChangShouHua2_0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0075.png,0.9899863026525084,0.9103126321107823,0.9484792318041092,0.9363128224140189,0.9020071314724754,381.8460693359375,0.2889424556981609,0.2150314670138889,2,0.4014824535195805,0.002810500508282007,0.0021532600308641976
GroundedSAM2_potted,ChangShouHua2,0100,ChangShouHua2_0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_ChangShouHua2_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0100.png,0.9927706227486817,0.8310955740067907,0.9047673256274675,0.8738849443459502,0.826095994758206,342.3556213378906,0.2325996359330381,0.2731501977237654,3,0.3941189918429124,0.0029310777092604982,0.001974705825617284
GroundedSAM2_potted,CaoMei1,0000,CaoMei1_0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0000.png,0.997095507587125,0.8274921558373644,0.9044111474484574,0.8980518125493052,0.8255023272116662,342.4120178222656,0.22292653671270798,0.12245225694444445,1,,0.00041722296395193593,0.0003556616512345679
GroundedSAM2_potted,CaoMei1,0025,CaoMei1_0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png,0.9976040957352904,0.8690452852381886,0.9288976759855453,0.9227830997898252,0.8672352352892566,711.1024169921875,0.38917959492848053,0.1242918113425926,1,0.40657448007587527,0.00034735074043365125,0.0002977912808641975
GroundedSAM2_potted,CaoMei1,0050,CaoMei1_0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png,0.9941434484080786,0.9210408331936751,0.9561969767943314,0.9541854059866264,0.9160703270026114,144.91275024414062,0.33140853693902106,0.07797996238425926,1,0.5781659774768504,0.0004986659894919439,0.00045669367283950616
GroundedSAM2_potted,CaoMei1,0075,CaoMei1_0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png,0.9961955467984426,0.906500978132976,0.94923412719961,0.946288917879917,0.9033735789970145,624.55224609375,0.40939779356234557,0.09202787422839506,1,0.08390522046863999,0.00038950812125774104,0.00035011574074074074
GroundedSAM2_potted,CaoMei1,0100,CaoMei1_0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted/mask_CaoMei1_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png,0.9957768648980688,0.8979669939450535,0.9443460411365189,0.9395692630706982,0.8945602232697573,490.86712646484375,0.3457072896727364,0.1161915268132716,1,0.07605075159159473,0.0005632682400995227,0.0004906925154320987
