image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0104.jpg,0104,4249,2802,0.6596045197740112,low
0121.jpg,0121,1784,1170,0.655829596412556,low
0112.jpg,0112,3112,1661,0.5337403598971723,low
0108.jpg,0108,3496,2259,0.6461670480549199,low
0122.jpg,0122,1858,1140,0.6135629709364908,low
0120.jpg,0120,1791,1071,0.5979899497487438,low
0129.jpg,0129,942,554,0.5881104033970276,low
0130.jpg,0130,665,400,0.6015037593984962,low
0117.jpg,0117,2099,919,0.437827536922344,low
0110.jpg,0110,3695,2145,0.5805142083897158,low
0118.jpg,0118,2071,1022,0.49348140994688555,low
0107.jpg,0107,3606,2843,0.78840820854132,ok
0111.jpg,0111,3915,2425,0.6194125159642401,low
0119.jpg,0119,2003,1104,0.5511732401397903,low
0105.jpg,0105,5148,3577,0.6948329448329449,low
0131.jpg,0131,1305,737,0.5647509578544061,low
0114.jpg,0114,3037,1933,0.6364833717484359,low
0128.jpg,0128,1470,789,0.536734693877551,low
0109.jpg,0109,4476,3170,0.7083798882681565,ok
0136.jpg,0136,1219,402,0.32977850697292865,low
0137.jpg,0137,1201,421,0.350541215653622,low
0135.jpg,0135,1190,540,0.453781512605042,low
0156.jpg,0156,758,431,0.5686015831134564,low
0146.jpg,0146,2479,1654,0.6672045179507866,low
0106.jpg,0106,6948,5412,0.7789291882556131,ok
0103.jpg,0103,8584,6576,0.766076421248835,ok
0101.jpg,0101,8499,6624,0.7793858100953053,ok
0163.jpg,0163,777,198,0.2548262548262548,low
0155.jpg,0155,596,345,0.5788590604026845,low
0162.jpg,0162,1044,414,0.39655172413793105,low
0143.jpg,0143,1181,711,0.6020321761219306,low
0133.jpg,0133,1442,741,0.513869625520111,low
0160.jpg,0160,1207,457,0.37862468931234466,low
0167.jpg,0167,1108,370,0.33393501805054154,low
0159.jpg,0159,1760,665,0.3778409090909091,low
0102.jpg,0102,8727,6815,0.7809098200985447,ok
0140.jpg,0140,2572,1531,0.5952566096423018,low
0141.jpg,0141,3076,1982,0.6443433029908973,low
0153.jpg,0153,916,438,0.4781659388646288,low
0158.jpg,0158,1793,1159,0.6464026770775237,low
0144.jpg,0144,2532,1638,0.6469194312796208,low
0151.jpg,0151,1900,1345,0.7078947368421052,ok
0148.jpg,0148,2827,2212,0.7824548991864166,ok
0139.jpg,0139,2108,1469,0.6968690702087287,low
0152.jpg,0152,1264,723,0.571993670886076,low
0157.jpg,0157,1627,1093,0.6717885679164106,low
0145.jpg,0145,2625,1867,0.7112380952380952,ok
0170.jpg,0170,1914,613,0.32027168234064785,low
0147.jpg,0147,3588,2741,0.7639353400222966,ok
0161.jpg,0161,2861,1765,0.6169171618315274,low
0164.jpg,0164,3458,1101,0.3183921341816079,low
0154.jpg,0154,703,402,0.5718349928876245,low
0142.jpg,0142,3093,1997,0.6456514710636923,low
0169.jpg,0169,4366,1297,0.29706825469537335,low
0171.jpg,0171,2830,1532,0.5413427561837456,low
0165.jpg,0165,5088,1771,0.3480738993710692,low
