图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0095.jpg,0095.jpg,colmap_tracks,1,ok,1972,394,343570,0,20940,0.0025245949074074073,0.9475874980914741,"0,0,2157,3760",
0096.jpg,0096.jpg,colmap_tracks,1,ok,1199,261,228044,0,17441,0.0021027440200617285,0.9584562028669293,"0,54,2153,3697",
0097.jpg,0097.jpg,colmap_tracks,1,ok,549,185,94757,0,4012,0.00048369984567901236,0.9956092014152993,"9,180,2060,3728",
0098.jpg,0098.jpg,colmap_tracks,1,ok,2305,1207,259454,0,47420,0.005717110339506173,0.9533963102300111,"0,78,2158,3826",
0099.jpg,0099.jpg,colmap_tracks,1,ok,2746,1632,255194,0,63322,0.007634307484567901,0.9406728527848774,"0,83,2145,3839",
0100.jpg,0100.jpg,colmap_tracks,1,ok,919,396,134337,0,7315,0.0008819203317901235,0.9932117164938121,"0,0,2159,3813",
0101.jpg,0101.jpg,colmap_tracks,1,ok,8499,4904,676132,0,272884,0.03289978780864197,0.8072112449980784,"0,0,2160,3840",
0102.jpg,0102.jpg,colmap_tracks,1,ok,8727,5023,694365,0,274972,0.03315152391975309,0.8065748729946807,"0,0,2160,3840",
0103.jpg,0103.jpg,colmap_tracks,1,ok,8584,4892,701675,0,264000,0.031828703703703706,0.8118742949739796,"0,0,2160,3840",
0104.jpg,0104.jpg,colmap_tracks,1,ok,4249,2139,474411,0,131493,0.015853226273148148,0.8981299063907325,"0,0,2160,3840",
0105.jpg,0105.jpg,colmap_tracks,1,ok,5148,2464,551374,0,199166,0.024012104552469136,0.854392511339145,"0,24,2160,3840",
0106.jpg,0106.jpg,colmap_tracks,1,ok,6948,3999,558925,0,231403,0.02789870273919753,0.8358102206457811,"0,0,2160,3840",
0107.jpg,0107.jpg,colmap_tracks,1,ok,3606,2381,276020,0,90731,0.010938826195987654,0.9299630868701341,"0,36,2139,3758",
0108.jpg,0108.jpg,colmap_tracks,1,ok,3496,1660,410106,0,126452,0.015245466820987654,0.905297206293049,"0,0,2160,3840",
0109.jpg,0109.jpg,colmap_tracks,1,ok,4476,2280,460754,0,171464,0.020672260802469134,0.873024712431306,"0,0,2160,3835",
0110.jpg,0110.jpg,colmap_tracks,1,ok,3695,1821,427225,0,70336,0.008479938271604938,0.9425342105929673,"0,13,2133,3840",
0111.jpg,0111.jpg,colmap_tracks,1,ok,3915,1726,475223,0,144389,0.01740801022376543,0.8900120432276459,"0,0,2160,3840",
0112.jpg,0112.jpg,colmap_tracks,1,ok,3112,1341,397211,0,64546,0.007781876929012345,0.9505169023424473,"0,10,2142,3837",
0113.jpg,0113.jpg,colmap_tracks,1,ok,2443,718,400068,0,50721,0.0061150896990740744,0.9651687175652095,"0,0,2160,3840",
0114.jpg,0114.jpg,colmap_tracks,1,ok,3037,1466,359660,0,102406,0.01234640239197531,0.9371082546720793,"0,0,2160,3840",
0115.jpg,0115.jpg,colmap_tracks,1,ok,1109,487,160658,0,3176,0.00038290895061728395,0.9980119172291535,"0,0,2151,3840",
0116.jpg,0116.jpg,colmap_tracks,1,ok,905,358,143533,0,5269,0.0006352478780864198,0.9966785513466082,"0,0,2160,3840",
0117.jpg,0117.jpg,colmap_tracks,1,ok,2099,786,321421,0,30872,0.0037220293209876544,0.9804757239862358,"0,0,2138,3819",
0118.jpg,0118.jpg,colmap_tracks,1,ok,2071,907,284629,0,27719,0.003341893325617284,0.9820794879668989,"0,0,2159,3840",
0119.jpg,0119.jpg,colmap_tracks,1,ok,2003,994,252487,0,28794,0.0034714988425925924,0.9812620431101858,"0,40,2133,3840",
0120.jpg,0120.jpg,colmap_tracks,1,ok,1791,982,207903,0,22525,0.0027156876929012347,0.984466213583529,"0,34,2116,3789",
0121.jpg,0121.jpg,colmap_tracks,1,ok,1784,1083,180777,0,21096,0.0025434027777777777,0.9839986529013819,"0,61,2160,3788",
0122.jpg,0122.jpg,colmap_tracks,1,ok,1858,1026,211687,0,27605,0.003328149112654321,0.9783117839176437,"0,14,2159,3657",
0123.jpg,0123.jpg,colmap_tracks,1,ok,1189,470,184760,0,14354,0.001730565200617284,0.9890412506747105,"0,6,2121,3727",
0124.jpg,0124.jpg,colmap_tracks,1,ok,831,361,123467,0,8073,0.0009733072916666667,0.9943451497032832,"7,0,2149,3740",
0125.jpg,0125.jpg,colmap_tracks,1,ok,969,298,168586,0,14186,0.0017103105709876543,0.9915759694820403,"0,0,2116,3699",
0126.jpg,0126.jpg,colmap_tracks,1,ok,1518,688,210983,0,11579,0.0013960021219135803,0.9934979428027859,"15,78,2116,3840",
0127.jpg,0127.jpg,colmap_tracks,1,ok,1407,601,206019,0,19132,0.002306616512345679,0.9888798798013351,"0,0,2152,3840",
0128.jpg,0128.jpg,colmap_tracks,1,ok,1470,724,192338,0,16447,0.0019829041280864197,0.9898317952535188,"0,0,2147,3840",
0129.jpg,0129.jpg,colmap_tracks,1,ok,942,532,109396,0,5374,0.0006479070216049383,0.9963529136311041,"10,0,2101,3764",
0130.jpg,0130.jpg,colmap_tracks,1,ok,665,382,75345,0,4428,0.0005338541666666666,0.9956543031525931,"0,3,2114,3380",
0131.jpg,0131.jpg,colmap_tracks,1,ok,1305,617,173031,0,27923,0.0033664882330246915,0.9707770767029786,"0,0,2122,3633",
0132.jpg,,colmap_tracks,0,missing_colmap_observation,,,,,,0.0,,,
0133.jpg,0133.jpg,colmap_tracks,1,ok,1442,658,193605,0,19660,0.0023702739197530866,0.9846786053010779,"0,10,2146,3734",
0134.jpg,,colmap_tracks,0,missing_colmap_observation,,,,,,0.0,,,
0135.jpg,0135.jpg,colmap_tracks,1,ok,1190,469,180688,0,16857,0.0020323350694444442,0.9878542860169018,"0,586,2004,3835",
0136.jpg,0136.jpg,colmap_tracks,1,ok,1219,391,209534,0,2847,0.0003432436342592593,0.9972475973274528,"0,487,1971,3840",
0137.jpg,0137.jpg,colmap_tracks,1,ok,1201,404,202822,0,4316,0.0005203510802469136,0.9958804450951907,"0,436,2093,3810",
0138.jpg,,colmap_tracks,0,missing_colmap_observation,,,,,,0.0,,,
0139.jpg,0139.jpg,colmap_tracks,1,ok,2108,1338,190070,0,31323,0.0037764033564814813,0.9736632787590975,"0,320,2028,3813",
0140.jpg,0140.jpg,colmap_tracks,1,ok,2572,1342,283052,0,42038,0.005068238811728395,0.9661683966887875,"0,291,2118,3795",
0141.jpg,0141.jpg,colmap_tracks,1,ok,3076,1712,310200,0,64146,0.007733651620370371,0.95040923628554,"0,228,2128,3840",
0142.jpg,0142.jpg,colmap_tracks,1,ok,3093,1700,316226,0,66830,0.008057243441358025,0.9496897673669297,"0,84,2140,3817",
0143.jpg,0143.jpg,colmap_tracks,1,ok,1181,667,132132,0,10814,0.0013037712191358024,0.9918441350401269,"0,59,2146,3820",
0144.jpg,0144.jpg,colmap_tracks,1,ok,2532,1484,252604,0,33258,0.004009693287037037,0.9754720223375846,"0,68,2140,3836",
0145.jpg,0145.jpg,colmap_tracks,1,ok,2625,1709,221456,0,35291,0.004254798418209876,0.9753462189758177,"0,121,2152,3840",
0146.jpg,0146.jpg,colmap_tracks,1,ok,2479,1576,224147,0,18022,0.0021727912808641977,0.9872835461562398,"0,90,2137,3840",
0147.jpg,0147.jpg,colmap_tracks,1,ok,3588,2620,241745,0,28435,0.0034282166280864197,0.9801230157093536,"0,71,2151,3840",
0148.jpg,0148.jpg,colmap_tracks,1,ok,2827,2144,175074,0,16818,0.0020276331018518516,0.9877984104124874,"0,54,2160,3760",
0149.jpg,0149.jpg,colmap_tracks,1,ok,3101,2483,159740,0,16600,0.0020013503086419755,0.9867723497486348,"0,31,2143,3777",
0150.jpg,0150.jpg,colmap_tracks,1,ok,2591,1987,156692,0,13616,0.0016415895061728395,0.9873481823697813,"0,85,2121,3830",
0151.jpg,0151.jpg,colmap_tracks,1,ok,1900,1259,163714,0,20994,0.002531105324074074,0.9803799710101315,"0,45,2133,3827",
0152.jpg,0152.jpg,colmap_tracks,1,ok,1264,680,150443,0,10828,0.0013054591049382715,0.9906807574165352,"0,65,2140,3804",
0153.jpg,0153.jpg,colmap_tracks,1,ok,916,403,133444,0,9361,0.0011285927854938272,0.9921952122408687,"0,0,2117,3816",
0154.jpg,0154.jpg,colmap_tracks,1,ok,703,378,85745,0,6512,0.000785108024691358,0.9941507020594702,"9,0,2109,3778",
0155.jpg,0155.jpg,colmap_tracks,1,ok,596,331,70396,0,3569,0.0004302903163580247,0.9966389957481272,"0,0,2099,3840",
0156.jpg,0156.jpg,colmap_tracks,1,ok,758,386,96894,0,10803,0.001302445023148148,0.9875357957914994,"8,105,2126,3840",
0157.jpg,0157.jpg,colmap_tracks,1,ok,1627,970,162620,0,27753,0.0033459924768518517,0.95843561061597,"0,2,2126,3824",
0158.jpg,0158.jpg,colmap_tracks,1,ok,1793,987,194720,0,38817,0.004679904513888889,0.9322525245826104,"0,0,2133,3716",
0159.jpg,0159.jpg,colmap_tracks,1,ok,1760,588,283818,0,17009,0.0020506606867283952,0.9523993428988013,"0,0,2157,3839",
0160.jpg,0160.jpg,colmap_tracks,1,ok,1207,417,198230,0,8871,0.0010695167824074075,0.9757033458226517,"0,0,2144,3814",
0161.jpg,0161.jpg,colmap_tracks,1,ok,2861,1438,319806,0,64995,0.007836009837962963,0.8767640684637744,"0,26,2151,3836",
0162.jpg,0162.jpg,colmap_tracks,1,ok,1044,375,168533,0,8999,0.0010849488811728394,0.9809560289331228,"86,0,2160,3840",
0163.jpg,0163.jpg,colmap_tracks,1,ok,777,185,149588,0,3572,0.0004306520061728395,0.9916278960752833,"73,0,2127,3820",
0164.jpg,0164.jpg,colmap_tracks,1,ok,3458,871,526833,0,47912,0.005776427469135803,0.8540340786190634,"133,0,2143,3840",
0165.jpg,0165.jpg,colmap_tracks,0,iou_guard,5088,1771,568926,0,210406,0.02536723572530864,0.5725826929366429,"162,0,2159,3836",
0166.jpg,0166.jpg,colmap_tracks,0,iou_guard,5661,1981,642971,0,216564,0.02610966435185185,0.5720848622085751,"164,0,2149,3762",
0167.jpg,0167.jpg,colmap_tracks,1,ok,1108,337,191988,0,8323,0.0010034481095679013,0.9714422961450703,"214,0,2157,3745",
0168.jpg,0168.jpg,colmap_tracks,0,iou_guard,6351,2136,692104,0,205493,0.02477490837191358,0.5744438070663372,"263,0,2160,3667",
0169.jpg,0169.jpg,colmap_tracks,0,iou_guard,4366,1297,567953,0,151057,0.01821192611882716,0.6501301673182753,"270,0,2157,3665",
0170.jpg,0170.jpg,colmap_tracks,1,ok,1914,516,321253,0,20271,0.002443938078703704,0.937847806690766,"222,0,2137,3709",
0171.jpg,0171.jpg,colmap_tracks,1,ok,2830,1298,339874,0,46780,0.005639949845679012,0.8878465237936549,"117,0,2153,3840",
0172.jpg,0172.jpg,colmap_tracks,1,ok,2072,829,276556,0,40924,0.004933931327160494,0.957657614779897,"0,0,2135,3748",
0173.jpg,0173.jpg,colmap_tracks,1,ok,2541,1137,319412,0,51552,0.006215277777777778,0.9660407784693055,"0,0,2160,3840",
0174.jpg,0174.jpg,colmap_tracks,1,ok,3202,1832,308234,0,12581,0.0015168065200617284,0.9924665302207047,"0,0,2159,3840",
0175.jpg,0175.jpg,colmap_tracks,1,ok,1386,727,169944,0,7503,0.0009045862268518518,0.9950792868999376,"0,0,2160,3840",
0176.jpg,0176.jpg,colmap_tracks,1,ok,1058,551,132261,0,4490,0.0005413290895061729,0.9971438131430396,"0,0,2104,3840",
0177.jpg,0177.jpg,colmap_tracks,1,ok,915,468,118592,0,6299,0.0007594280478395062,0.9961051215271337,"0,27,2087,3840",
0178.jpg,0178.jpg,colmap_tracks,1,ok,1852,1195,168881,0,24840,0.002994791666666667,0.986487897856341,"0,282,2160,3833",
0179.jpg,0179.jpg,colmap_tracks,1,ok,1244,686,146800,0,2997,0.000361328125,0.9986279953946058,"0,295,2150,3840",
0180.jpg,0180.jpg,colmap_tracks,1,ok,1163,295,221883,0,2829,0.0003410734953703704,0.9982109916822812,"58,114,2134,3834",
0181.jpg,0181.jpg,colmap_tracks,1,ok,3321,2406,232405,0,27612,0.0033289930555555555,0.9844318048551659,"0,133,2160,3840",
0182.jpg,0182.jpg,colmap_tracks,1,ok,8122,7135,217996,0,53590,0.006460985725308642,0.9695769095612751,"0,132,2154,3840",
0183.jpg,0183.jpg,colmap_tracks,1,ok,9576,8665,191472,0,54182,0.0065323591820987655,0.9664725097723024,"0,150,2139,3840",
0184.jpg,0184.jpg,colmap_tracks,1,ok,9503,8618,175960,0,54186,0.006532841435185185,0.9632954316068697,"18,158,2153,3840",
0185.jpg,0185.jpg,colmap_tracks,1,ok,10537,9402,235853,0,56328,0.006791087962962963,0.9611755680678559,"21,164,2146,3840",
0186.jpg,0186.jpg,colmap_tracks,1,ok,10042,8912,239765,0,50952,0.006142939814814815,0.9639801152591068,"26,20,2149,3840",
0187.jpg,0187.jpg,colmap_tracks,1,ok,9881,8785,221244,0,50266,0.006060233410493827,0.9628549365040071,"59,46,2139,3840",
0188.jpg,0188.jpg,colmap_tracks,1,ok,9144,8108,212009,0,52330,0.006309076003086419,0.9610289315314148,"39,62,2156,3840",
0189.jpg,0189.jpg,colmap_tracks,1,ok,5499,4862,155186,0,30526,0.0036803144290123457,0.9782153671366475,"0,55,2130,3840",
0190.jpg,0190.jpg,colmap_tracks,1,ok,5539,4982,130944,0,30304,0.0036535493827160492,0.9796145026023395,"0,45,2135,3840",
0191.jpg,0191.jpg,colmap_tracks,1,ok,3922,3484,110466,0,19430,0.0023425443672839504,0.9872017220698827,"0,49,2138,3840",
0192.jpg,0192.jpg,colmap_tracks,1,ok,3853,3482,94748,0,15056,0.0018152006172839506,0.990383651185086,"1,59,2136,3840",
0193.jpg,0193.jpg,colmap_tracks,1,ok,4623,4251,95995,0,16987,0.0020480082947530866,0.989800635966703,"0,57,2093,3840",
0194.jpg,0194.jpg,colmap_tracks,1,ok,4302,3940,94666,0,13331,0.001607228973765432,0.9921457331493542,"0,54,2160,3840",
0195.jpg,0195.jpg,colmap_tracks,1,ok,9215,8685,126850,0,28358,0.0034189332561728393,0.9834068841711809,"0,44,2149,3840",
0196.jpg,0196.jpg,colmap_tracks,1,ok,10542,8563,318258,0,191938,0.02314067322530864,0.8798145289806295,"0,264,2150,3840",
0197.jpg,0197.jpg,colmap_tracks,1,ok,10036,8088,326813,0,187931,0.022657576195987655,0.8792062738100824,"0,305,2158,3840",
0198.jpg,0198.jpg,colmap_tracks,1,ok,6138,4596,299858,0,169753,0.020465977044753086,0.8864176664746339,"0,359,2130,3840",
0199.jpg,0199.jpg,colmap_tracks,1,ok,6158,4804,266770,0,147848,0.017825038580246914,0.8983649493536445,"0,363,2097,3840",
0200.jpg,0200.jpg,colmap_tracks,1,ok,8893,6972,315182,0,178848,0.0215625,0.8790541979854539,"0,386,2104,3840",
0201.jpg,0201.jpg,colmap_tracks,1,ok,6973,5314,297811,0,181554,0.02188874421296296,0.8832751918796555,"0,398,2148,3837",
0202.jpg,0202.jpg,colmap_tracks,1,ok,2998,2154,196536,0,69521,0.008381679205246913,0.9554019222059565,"0,471,2157,3829",
0203.jpg,0203.jpg,colmap_tracks,1,ok,1340,864,121039,0,9806,0.0011822434413580247,0.9937424780195447,"0,519,2147,3840",
0204.jpg,0204.jpg,colmap_tracks,1,ok,2718,2076,157880,0,40078,0.004831934799382716,0.97197920708665,"0,572,2151,3837",
0205.jpg,0205.jpg,colmap_tracks,1,ok,6806,6163,154872,0,31464,0.003793402777777778,0.9766358054944174,"0,536,2151,3840",
0206.jpg,0206.jpg,colmap_tracks,1,ok,842,565,73558,0,4667,0.0005626687885802469,0.9955439792160573,"3,0,2127,3747",
0207.jpg,0207.jpg,colmap_tracks,1,ok,562,285,73271,0,1763,0.00021255304783950618,0.997949272707181,"98,0,2095,3497",
0208.jpg,0208.jpg,colmap_tracks,1,ok,653,250,104806,0,2713,0.00032708815586419753,0.9966853596256521,"40,0,2145,3335",
0209.jpg,0209.jpg,colmap_tracks,1,ok,653,214,112473,0,1914,0.00023075810185185187,0.9974967335904609,"0,0,2126,3268",
